ID,energy
7475,-97.16467
8126,-77.68054
6986,-69.61662
7252,-73.44262
7830,-74.98896
7190,-77.23548
7989,-78.72746
7890,-67.627205
8080,-97.10959
7601,-81.12045
7259,-90.30934
6955,-84.0128
8185,-74.527245
6928,-90.23236
7275,-69.92905
7791,-83.84801
7091,-72.97056
6806,-83.98157
8023,-90.973915
8098,-89.879105
7816,-70.72762
8032,-74.59875
7793,-70.51768
7702,-78.18549
7364,-97.022224
6685,-83.342224
8172,-91.01098
7235,-61.775337
7148,-77.42327
7884,-76.8732
7188,-72.86089
7411,-83.51203
7068,-63.969738
7501,-84.71226
7043,-71.86184
6911,-77.38303
8168,-97.1709
7570,-74.81086
7231,-78.259735
7025,-78.12056
6848,-84.07992
7184,-84.1149
7223,-67.89369
7220,-91.02768
6656,-69.139206
8141,-90.27069
8181,-68.1996
8088,-50.58095
7629,-97.13054
6908,-85.170166
7135,-69.60823
7915,-75.64373
7883,-76.73165
7240,-63.98976
7706,-79.02866
7027,-75.44534
7926,-56.51787
7263,-77.66452
7647,-69.03156
6815,-90.890625
6909,-70.153725
6919,-84.28768
8073,-82.46009
7261,-74.532234
6872,-83.57541
7649,-84.92858
7782,-60.741974
7087,-90.11284
7493,-69.28993
6884,-70.24162
6916,-84.22823
7013,-69.46774
6990,-63.141544
6611,-84.243
7736,-83.561005
8012,-83.459435
7258,-91.04022
6821,-73.24021
7548,-68.162224
7138,-89.972534
7313,-63.528484
6595,-55.551502
7459,-91.075905
7288,-83.75199
7775,-70.02402
6702,-77.07115
6670,-55.816673
7476,-84.04002
7503,-77.41977
7888,-77.03846
7539,-76.001495
7167,-68.121086
7471,-83.83448
7333,-71.19981
8036,-72.71768
7020,-56.49275
6932,-62.676968
7074,-84.15464
8234,-69.99163
6890,-74.62979
7541,-84.79482
7440,-60.479424
7039,-69.869965
7854,-90.99198
7484,-68.529594
7099,-78.53231
7122,-74.86457
7760,-90.181694
7977,-72.27807
8145,-90.09355
7987,-54.358967
7046,-72.0409
7712,-74.77738
7863,-90.74818
7651,-66.617775
7212,-76.31519
8179,-73.03633
7061,-103.20978
7017,-83.34179
8100,-97.148056
7292,-71.06444
7304,-69.851425
6705,-83.32178
8063,-75.05596
7618,-84.84525
7051,-90.308754
6601,-66.604744
7981,-90.577614
7956,-61.277485
7505,-71.06342
8075,-97.1264
7024,-75.47209
7843,-91.593575
6862,-71.83486
8220,-75.806595
7056,-96.54422
7454,-75.64942
7569,-84.58036
7922,-83.79044
7604,-81.95132
6739,-72.816414
7662,-77.01682
7139,-84.60117
6664,-97.000046
7264,-73.9822
8111,-89.89086
6888,-91.06205
8163,-69.16244
8065,-83.56893
7426,-59.191807
7228,-60.40932
7227,-77.82557
7497,-97.089226
6992,-55.362713
7535,-77.61297
7186,-69.840355
7908,-67.780655
7794,-76.26698
7085,-68.18475
7866,-47.621887
6701,-61.676804
6935,-90.18258
7962,-72.86556
7193,-83.450874
8190,-61.3033
7636,-44.284267
7234,-67.96281
7724,-74.16191
7798,-90.881714
7555,-97.144936
7514,-90.03236
6679,-72.25736
7255,-78.39658
8074,-62.634453
6694,-66.637825
7195,-97.1215
6654,-84.46802
6834,-75.07598
7786,-75.02831
7209,-91.111435
6631,-69.35677
7935,-96.50466
8147,-90.95571
7749,-90.30452
6710,-68.98941
7185,-89.907074
6751,-78.90609
7404,-90.54546
7653,-70.3022
7038,-103.2499
7605,-74.06335
8000,-84.173294
7725,-55.235283
7453,-69.528076
6711,-74.876595
7519,-90.38137
6898,-66.36169
8089,-77.733025
7424,-32.992844
6616,-90.28059
8184,-72.19534
6813,-64.806305
6901,-96.986145
7722,-48.249706
6809,-54.51227
7690,-90.41307
7552,-97.1057
7771,-62.648975
7289,-74.618866
8006,-90.37709
7904,-75.96931
7456,-69.465096
8092,-66.242355
7642,-97.05169
7674,-90.94625
7685,-74.902954
6648,-75.0605
7353,-97.010544
6640,-69.408554
7988,-74.27241
8022,-97.092804
7041,-70.20013
8053,-91.06954
7465,-78.34041
7982,-84.3595
7643,-77.17642
7657,-84.986046
7221,-90.46526
7921,-72.91173
7527,-75.45542
7151,-82.46675
7599,-83.870544
7946,-77.37583
6738,-63.083008
7585,-74.63653
7287,-97.0648
8033,-69.97131
6729,-78.4818
7031,-75.238335
8122,-89.93907
8176,-91.09553
7944,-97.18518
8078,-77.95988
7893,-76.40596
7963,-75.06468
7762,-84.197945
7015,-46.408142
6951,-97.18127
6597,-90.26156
6869,-83.50275
7903,-90.918655
7199,-75.47859
7433,-90.931816
7835,-72.59128
7720,-68.61889
6687,-74.09767
7842,-84.21844
6778,-90.2776
8034,-72.10742
7372,-84.172966
7019,-84.72162
6682,-44.597187
7003,-90.3418
6764,-75.12458
7409,-84.35392
7502,-68.31359
7839,-79.10211
7315,-68.41772
6864,-66.67005
7610,-103.25137
7004,-73.735405
7105,-69.49128
7026,-67.73448
6903,-78.86242
7359,-84.532005
7386,-76.708786
6782,-63.744106
7849,-75.78935
7219,-83.52989
8187,-69.35142
6624,-90.19442
6691,-58.078
8214,-26.856739
7473,-74.7959
7239,-68.23653
6602,-76.8732
8013,-62.608486
7028,-68.626526
8170,-97.2067
6960,-67.012474
6606,-78.945
7673,-90.94098
7205,-90.24221
7939,-54.99732
8119,-40.700783
7338,-56.673214
7923,-78.66945
